State,Administrative district,Year,Hospital type,Hospital Category,Number of Hospital,Number of Bed
Kelantan,Tumpat,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Tumpat,2016,Non-MoH,,,
Kelantan,Tumpat,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,119
Kelantan,Tumpat,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Tumpat,2017,Non-MoH,,,
Kelantan,Tumpat,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Kelantan,Tumpat,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Kelantan,Tumpat,2018,Non-MoH,,,
Melaka,Alor Gajah,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,78
Melaka,Alor Gajah,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Alor Gajah,2015,Non-MoH,,,
Melaka,Alor Gajah,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,95
Melaka,Alor Gajah,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Alor Gajah,2016,Non-MoH,,,
Melaka,Alor Gajah,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,95
Melaka,Alor Gajah,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Alor Gajah,2017,Non-MoH,,,
Melaka,Alor Gajah,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Melaka,Alor Gajah,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Alor Gajah,2018,Non-MoH,,,
Melaka,Jasin,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,76
Melaka,Jasin,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Jasin,2015,Non-MoH,,,
Melaka,Jasin,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Melaka,Jasin,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Jasin,2016,Non-MoH,,,
Melaka,Jasin,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Melaka,Jasin,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Jasin,2017,Non-MoH,,,
Melaka,Jasin,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Melaka,Jasin,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Jasin,2018,Non-MoH,,,
Melaka,Melaka Tengah,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,1091
Melaka,Melaka Tengah,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Melaka Tengah,2015,Non-MoH,,1,144
Melaka,Melaka Tengah,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,1091
Melaka,Melaka Tengah,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Melaka Tengah,2016,Non-MoH,,1,144
Melaka,Melaka Tengah,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,1091
Melaka,Melaka Tengah,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Melaka Tengah,2017,Non-MoH,,1,144
Melaka,Melaka Tengah,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Melaka,Melaka Tengah,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Melaka,Melaka Tengah,2018,Non-MoH,,,
Negeri Sembilan,Jelebu,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,76
Negeri Sembilan,Jelebu,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Jelebu,2015,Non-MoH,,,
Negeri Sembilan,Jelebu,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,76
Negeri Sembilan,Jelebu,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Jelebu,2016,Non-MoH,,,
Negeri Sembilan,Jelebu,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,76
Negeri Sembilan,Jelebu,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Jelebu,2017,Non-MoH,,,
Negeri Sembilan,Jelebu,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Negeri Sembilan,Jelebu,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Jelebu,2018,Non-MoH,,,
Negeri Sembilan,Jempol,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,108
Negeri Sembilan,Jempol,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Jempol,2015,Non-MoH,,,
Negeri Sembilan,Jempol,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,108
Negeri Sembilan,Jempol,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Jempol,2016,Non-MoH,,,
Negeri Sembilan,Jempol,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,108
Negeri Sembilan,Jempol,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Jempol,2017,Non-MoH,,,
Negeri Sembilan,Jempol,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Negeri Sembilan,Jempol,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Jempol,2018,Non-MoH,,,
Negeri Sembilan,Kuala Pilah,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,314
Negeri Sembilan,Kuala Pilah,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Kuala Pilah,2015,Non-MoH,,,
Negeri Sembilan,Kuala Pilah,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,314
Negeri Sembilan,Kuala Pilah,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Kuala Pilah,2016,Non-MoH,,,
Negeri Sembilan,Kuala Pilah,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,314
Negeri Sembilan,Kuala Pilah,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Kuala Pilah,2017,Non-MoH,,,
Negeri Sembilan,Kuala Pilah,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Negeri Sembilan,Kuala Pilah,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Kuala Pilah,2018,Non-MoH,,,
Negeri Sembilan,Port Dickson,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,113
Negeri Sembilan,Port Dickson,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Port Dickson,2015,Non-MoH,,,
Negeri Sembilan,Port Dickson,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,113
Negeri Sembilan,Port Dickson,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Port Dickson,2016,Non-MoH,,,
Negeri Sembilan,Port Dickson,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,113
Negeri Sembilan,Port Dickson,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Port Dickson,2017,Non-MoH,,,
Negeri Sembilan,Port Dickson,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Negeri Sembilan,Port Dickson,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Port Dickson,2018,Non-MoH,,,
Negeri Sembilan,Rembau,2015,"Ministry of Health, Malaysia (MoH)",Hospital,,
Negeri Sembilan,Rembau,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Rembau,2015,Non-MoH,,,
Negeri Sembilan,Rembau,2016,"Ministry of Health, Malaysia (MoH)",Hospital,,
Negeri Sembilan,Rembau,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Rembau,2016,Non-MoH,,,
Negeri Sembilan,Rembau,2017,"Ministry of Health, Malaysia (MoH)",Hospital,,
Negeri Sembilan,Rembau,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Rembau,2017,Non-MoH,,,
Negeri Sembilan,Rembau,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Negeri Sembilan,Rembau,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Rembau,2018,Non-MoH,,,
Negeri Sembilan,Seremban,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,1070
Negeri Sembilan,Seremban,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Seremban,2015,Non-MoH,,,
Negeri Sembilan,Seremban,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,1070
Negeri Sembilan,Seremban,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Seremban,2016,Non-MoH,,,
Negeri Sembilan,Seremban,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,1075
Negeri Sembilan,Seremban,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Seremban,2017,Non-MoH,,,
Negeri Sembilan,Seremban,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Negeri Sembilan,Seremban,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Seremban,2018,Non-MoH,,,
Negeri Sembilan,Tampin,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,108
Negeri Sembilan,Tampin,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Tampin,2015,Non-MoH,,1,36
Negeri Sembilan,Tampin,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,108
Negeri Sembilan,Tampin,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Tampin,2016,Non-MoH,,1,36
Negeri Sembilan,Tampin,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,110
Negeri Sembilan,Tampin,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Tampin,2017,Non-MoH,,1,36
Negeri Sembilan,Tampin,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Negeri Sembilan,Tampin,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Negeri Sembilan,Tampin,2018,Non-MoH,,,
Pahang,Bentong,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,152
Pahang,Bentong,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Bentong,2015,Non-MoH,,,
Pahang,Bentong,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,152
Pahang,Bentong,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Bentong,2016,Non-MoH,,,
Pahang,Bentong,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,152
Pahang,Bentong,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Bentong,2017,Non-MoH,,,
Pahang,Bentong,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Bentong,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Bentong,2018,Non-MoH,,,
Pahang,Bera,2015,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Bera,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Bera,2015,Non-MoH,,,
Pahang,Bera,2016,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Bera,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Bera,2016,Non-MoH,,,
Pahang,Bera,2017,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Bera,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Bera,2017,Non-MoH,,,
Pahang,Bera,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Bera,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Bera,2018,Non-MoH,,,
Pahang,Cameron Highlands,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,40
Pahang,Cameron Highlands,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Cameron Highlands,2015,Non-MoH,,,
Pahang,Cameron Highlands,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,40
Pahang,Cameron Highlands,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Cameron Highlands,2016,Non-MoH,,,
Pahang,Cameron Highlands,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,40
Pahang,Cameron Highlands,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Cameron Highlands,2017,Non-MoH,,,
Pahang,Cameron Highlands,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Cameron Highlands,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Cameron Highlands,2018,Non-MoH,,,
Pahang,Jerantut,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,77
Pahang,Jerantut,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Jerantut,2015,Non-MoH,,,
Pahang,Jerantut,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,77
Pahang,Jerantut,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Jerantut,2016,Non-MoH,,,
Pahang,Jerantut,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,77
Pahang,Jerantut,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Jerantut,2017,Non-MoH,,,
Pahang,Jerantut,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Jerantut,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Jerantut,2018,Non-MoH,,,
Pahang,Kuantan,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,793
Pahang,Kuantan,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Kuantan,2015,Non-MoH,,,
Pahang,Kuantan,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,851
Pahang,Kuantan,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Kuantan,2016,Non-MoH,,,
Pahang,Kuantan,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,851
Pahang,Kuantan,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Kuantan,2017,Non-MoH,,1,79
Pahang,Kuantan,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Kuantan,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Kuantan,2018,Non-MoH,,,
Pahang,Lipis,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,168
Pahang,Lipis,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Lipis,2015,Non-MoH,,,
Pahang,Lipis,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,168
Pahang,Lipis,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Lipis,2016,Non-MoH,,,
Pahang,Lipis,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,168
Pahang,Lipis,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Lipis,2017,Non-MoH,,,
Pahang,Lipis,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Lipis,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Lipis,2018,Non-MoH,,,
Pahang,Maran,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,70
Pahang,Maran,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Maran,2015,Non-MoH,,,
Pahang,Maran,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,70
Pahang,Maran,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Maran,2016,Non-MoH,,,
Pahang,Maran,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,70
Pahang,Maran,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Maran,2017,Non-MoH,,,
Pahang,Maran,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Maran,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Maran,2018,Non-MoH,,,
Pahang,Pekan,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,110
Pahang,Pekan,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Pekan,2015,Non-MoH,,,
Pahang,Pekan,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,110
Pahang,Pekan,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Pekan,2016,Non-MoH,,,
Pahang,Pekan,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,106
Pahang,Pekan,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Pekan,2017,Non-MoH,,,
Pahang,Pekan,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Pekan,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Pekan,2018,Non-MoH,,,
Pahang,Raub,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,89
Pahang,Raub,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Raub,2015,Non-MoH,,,
Pahang,Raub,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,89
Pahang,Raub,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Raub,2016,Non-MoH,,,
Pahang,Raub,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,89
Pahang,Raub,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Raub,2017,Non-MoH,,,
Pahang,Raub,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Raub,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Raub,2018,Non-MoH,,,
Pahang,Rompin,2015,"Ministry of Health, Malaysia (MoH)",Hospital,2,109
Pahang,Rompin,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Rompin,2015,Non-MoH,,,
Pahang,Rompin,2016,"Ministry of Health, Malaysia (MoH)",Hospital,2,109
Pahang,Rompin,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Rompin,2016,Non-MoH,,,
Pahang,Rompin,2017,"Ministry of Health, Malaysia (MoH)",Hospital,2,109
Pahang,Rompin,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Rompin,2017,Non-MoH,,,
Pahang,Rompin,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Rompin,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Rompin,2018,Non-MoH,,,
Pahang,Temerloh,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,550
Pahang,Temerloh,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Temerloh,2015,Non-MoH,,,
Pahang,Temerloh,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,650
Pahang,Temerloh,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Temerloh,2016,Non-MoH,,,
Pahang,Temerloh,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,650
Pahang,Temerloh,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Temerloh,2017,Non-MoH,,,
Pahang,Temerloh,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Pahang,Temerloh,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Pahang,Temerloh,2018,Non-MoH,,,
Perak,Batang Padang (Tapah),2015,"Ministry of Health, Malaysia (MoH)",Hospital,2,350
Perak,Batang Padang (Tapah),2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Batang Padang (Tapah),2015,Non-MoH,,,
Perak,Batang Padang (Tapah),2016,"Ministry of Health, Malaysia (MoH)",Hospital,2,350
Perak,Batang Padang (Tapah),2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Batang Padang (Tapah),2016,Non-MoH,,,
Perak,Batang Padang (Tapah),2017,"Ministry of Health, Malaysia (MoH)",Hospital,2,350
Perak,Batang Padang (Tapah),2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Batang Padang (Tapah),2017,Non-MoH,,,
Perak,Batang Padang (Tapah),2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Perak,Batang Padang (Tapah),2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Batang Padang (Tapah),2018,Non-MoH,,,
Perak,Hilir Perak,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,548
Perak,Hilir Perak,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Hilir Perak,2015,Non-MoH,,,
Perak,Hilir Perak,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,548
Perak,Hilir Perak,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Hilir Perak,2016,Non-MoH,,,
Perak,Hilir Perak,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,548
Perak,Hilir Perak,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Hilir Perak,2017,Non-MoH,,,
Perak,Hilir Perak,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Perak,Hilir Perak,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Hilir Perak,2018,Non-MoH,,,
Perak,Hulu Perak,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,75
Perak,Hulu Perak,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Hulu Perak,2015,Non-MoH,,,
Perak,Hulu Perak,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,75
Perak,Hulu Perak,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Hulu Perak,2016,Non-MoH,,,
Perak,Hulu Perak,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,75
Perak,Hulu Perak,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Hulu Perak,2017,Non-MoH,,,
Perak,Hulu Perak,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Perak,Hulu Perak,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Hulu Perak,2018,Non-MoH,,,
Perak,Kampar,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Perak,Kampar,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kampar,2015,Non-MoH,,,
Perak,Kampar,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Perak,Kampar,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kampar,2016,Non-MoH,,,
Perak,Kampar,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,90
Perak,Kampar,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kampar,2017,Non-MoH,,,
Perak,Kampar,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Perak,Kampar,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kampar,2018,Non-MoH,,,
Perak,Kerian,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,120
Perak,Kerian,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kerian,2015,Non-MoH,,,
Perak,Kerian,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,100
Perak,Kerian,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kerian,2016,Non-MoH,,,
Perak,Kerian,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,100
Perak,Kerian,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kerian,2017,Non-MoH,,,
Perak,Kerian,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Perak,Kerian,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kerian,2018,Non-MoH,,,
Perak,Kinta (Ipoh),2015,"Ministry of Health, Malaysia (MoH)",Hospital,2,1150
Perak,Kinta (Ipoh),2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,1,2000
Perak,Kinta (Ipoh),2015,Non-MoH,,,
Perak,Kinta (Ipoh),2016,"Ministry of Health, Malaysia (MoH)",Hospital,2,1150
Perak,Kinta (Ipoh),2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,1,1800
Perak,Kinta (Ipoh),2016,Non-MoH,,,
Perak,Kinta (Ipoh),2017,"Ministry of Health, Malaysia (MoH)",Hospital,2,1150
Perak,Kinta (Ipoh),2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,1,1800
Perak,Kinta (Ipoh),2017,Non-MoH,,,
Perak,Kinta (Ipoh),2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Perak,Kinta (Ipoh),2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kinta (Ipoh),2018,Non-MoH,,,
Perak,Kuala Kangsar,2015,"Ministry of Health, Malaysia (MoH)",Hospital,2,229
Perak,Kuala Kangsar,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kuala Kangsar,2015,Non-MoH,,,
Perak,Kuala Kangsar,2016,"Ministry of Health, Malaysia (MoH)",Hospital,2,229
Perak,Kuala Kangsar,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kuala Kangsar,2016,Non-MoH,,,
Perak,Kuala Kangsar,2017,"Ministry of Health, Malaysia (MoH)",Hospital,2,229
Perak,Kuala Kangsar,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kuala Kangsar,2017,Non-MoH,,,
Perak,Kuala Kangsar,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Perak,Kuala Kangsar,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Kuala Kangsar,2018,Non-MoH,,,
Perak,Larut & Matang (Taiping),2015,"Ministry of Health, Malaysia (MoH)",Hospital,2,698
Perak,Larut & Matang (Taiping),2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Larut & Matang (Taiping),2015,Non-MoH,,,
Perak,Larut & Matang (Taiping),2016,"Ministry of Health, Malaysia (MoH)",Hospital,2,698
Perak,Larut & Matang (Taiping),2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Larut & Matang (Taiping),2016,Non-MoH,,,
Perak,Larut & Matang (Taiping),2017,"Ministry of Health, Malaysia (MoH)",Hospital,2,698
Perak,Larut & Matang (Taiping),2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Larut & Matang (Taiping),2017,Non-MoH,,,
Perak,Larut & Matang (Taiping),2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Perak,Larut & Matang (Taiping),2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Larut & Matang (Taiping),2018,Non-MoH,,,
Perak,Manjung (Sitiawan),2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,305
Perak,Manjung (Sitiawan),2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Manjung (Sitiawan),2015,Non-MoH,,1,147
Perak,Manjung (Sitiawan),2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,305
Perak,Manjung (Sitiawan),2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Perak,Manjung (Sitiawan),2016,Non-MoH,,1,147
Perak,Manjung (Sitiawan),2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,305
Perak,Manjung (Sitiawan),2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
